"filename", "language", "vue", "JavaScript", "comment", "blank", "total"
"d:\项目\综合课程设计\SOMS-5\admin-frontend\src\i18n\locales\en-US.js", "JavaScript", 0, 248, 18, 18, 284
"d:\项目\综合课程设计\SOMS-5\admin-frontend\src\i18n\locales\zh-CN.js", "JavaScript", 0, 248, 18, 18, 284
"d:\项目\综合课程设计\SOMS-5\admin-frontend\src\layout\Layout.vue", "vue", 2, 0, 0, 0, 2
"d:\项目\综合课程设计\SOMS-5\admin-frontend\src\stores\breadcrumb.js", "JavaScript", 0, 1, 0, 0, 1
"d:\项目\综合课程设计\SOMS-5\admin-frontend\src\views\announcements\AnnouncementsManage.vue", "vue", 2, 0, 0, 1, 3
"d:\项目\综合课程设计\SOMS-5\admin-frontend\src\views\attendance\AttendanceRules.vue", "vue", 2, 0, 0, 1, 3
"d:\项目\综合课程设计\SOMS-5\admin-frontend\src\views\attendance\AttendanceStatistics.vue", "vue", 2, 0, 0, 1, 3
"d:\项目\综合课程设计\SOMS-5\admin-frontend\src\views\auth\Login.vue", "vue", 2, 0, 0, 0, 2
"d:\项目\综合课程设计\SOMS-5\admin-frontend\src\views\dashboard\Dashboard.vue", "vue", 2, 0, 0, 1, 3
"d:\项目\综合课程设计\SOMS-5\admin-frontend\src\views\departments\Departments.vue", "vue", 2, 0, 0, 1, 3
"d:\项目\综合课程设计\SOMS-5\admin-frontend\src\views\employees\Employees.vue", "vue", 2, 0, 0, 1, 3
"d:\项目\综合课程设计\SOMS-5\admin-frontend\src\views\leave\LeaveApplications.vue", "vue", 2, 0, 0, 1, 3
"d:\项目\综合课程设计\SOMS-5\admin-frontend\src\views\leave\LeaveApproval.vue", "vue", 2, 0, 0, 1, 3
"d:\项目\综合课程设计\SOMS-5\admin-frontend\src\views\leave\LeaveStatistics.vue", "vue", 2, 0, 0, 1, 3
"d:\项目\综合课程设计\SOMS-5\admin-frontend\src\views\reports\ReportsAttendance.vue", "vue", 2, 0, 0, 1, 3
"d:\项目\综合课程设计\SOMS-5\admin-frontend\src\views\reports\ReportsLeave.vue", "vue", 2, 0, 0, 1, 3
"d:\项目\综合课程设计\SOMS-5\admin-frontend\src\views\reports\ReportsPerformance.vue", "vue", 2, 0, 0, 1, 3
"d:\项目\综合课程设计\SOMS-5\admin-frontend\src\views\roles\Roles.vue", "vue", 2, 0, 0, 1, 3
"d:\项目\综合课程设计\SOMS-5\admin-frontend\src\views\system\SystemBackup.vue", "vue", 2, 0, 0, 1, 3
"d:\项目\综合课程设计\SOMS-5\admin-frontend\src\views\system\SystemConfig.vue", "vue", 2, 0, 0, 1, 3
"d:\项目\综合课程设计\SOMS-5\admin-frontend\src\views\system\SystemLogs.vue", "vue", 2, 0, 0, 1, 3
"d:\项目\综合课程设计\SOMS-5\employee-frontend\src\i18n\locales\en-US.js", "JavaScript", 0, 327, 13, 13, 353
"d:\项目\综合课程设计\SOMS-5\employee-frontend\src\i18n\locales\zh-CN.js", "JavaScript", 0, 327, 13, 13, 353
"d:\项目\综合课程设计\SOMS-5\employee-frontend\src\layout\Layout.vue", "vue", 2, 0, 0, 0, 2
"d:\项目\综合课程设计\SOMS-5\employee-frontend\src\stores\breadcrumb.js", "JavaScript", 0, 1, 0, 0, 1
"d:\项目\综合课程设计\SOMS-5\employee-frontend\src\views\attendance\Attendance.vue", "vue", 2, 0, 0, 1, 3
"d:\项目\综合课程设计\SOMS-5\employee-frontend\src\views\attendance\AttendanceRecords.vue", "vue", 2, 0, 0, 1, 3
"d:\项目\综合课程设计\SOMS-5\employee-frontend\src\views\auth\Login.vue", "vue", 2, 0, 0, 0, 2
"d:\项目\综合课程设计\SOMS-5\employee-frontend\src\views\dashboard\Dashboard.vue", "vue", 2, 0, 0, 0, 2
"d:\项目\综合课程设计\SOMS-5\employee-frontend\src\views\leave\Leave.vue", "vue", 2, 0, 0, 1, 3
"d:\项目\综合课程设计\SOMS-5\employee-frontend\src\views\leave\LeaveRecords.vue", "vue", 2, 0, 0, 0, 2
"d:\项目\综合课程设计\SOMS-5\employee-frontend\src\views\notifications\Notifications.vue", "vue", 2, 0, 0, 1, 3
"d:\项目\综合课程设计\SOMS-5\employee-frontend\src\views\profile\Profile.vue", "vue", 2, 0, 0, 0, 2
"d:\项目\综合课程设计\SOMS-5\employee-frontend\src\views\schedule\Schedule.vue", "vue", 2, 0, 0, 1, 3
"d:\项目\综合课程设计\SOMS-5\employee-frontend\src\views\tasks\TaskCreate.vue", "vue", 2, 0, 0, 0, 2
"d:\项目\综合课程设计\SOMS-5\employee-frontend\src\views\tasks\TaskManagement.vue", "vue", 2, 0, 0, 1, 3
"Total", "-", 60, 1152, 62, 84, 1358